TSid,dataSetName,iso2kUI,archiveType,pub1_doi,lat,lon,elevation,siteName,minYear,maxYear,variableName,units,description,measurementMaterial,measurementMaterialDetail,climateVariable,climateVariableDetail,seasonality,direction,isotopeInterpretation1_inferredMaterial,isotopeInterpretation1_direction,isotopeInterpretation1_variable,isotopeInterpretation1_seasonality,QC comments,QC Certification,Iso2k primary timeseries for dataset,link to lipdverse,QC notes from Hackathon #2 (and initials),Iso2k QC certification (INITIALS)
WEB6afe8aaf2,CO18HECO01B,CO18HECO01B,Coral,10.1002/2017PA003181,-12.087,96.875,-5.8,Direction Island,-60.92,-38.58,Sample ID,unitless,carbonate,coral,,,,,,,,,,,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO18HECO01B.html,,DMT (1/14/19)
WEB04cd805a2,CO18HECO01B,CO18HECO01B,Coral,10.1002/2017PA003181,-12.087,96.875,-5.8,Direction Island,-60.92,-38.58,d18O,permil,carbonate,coral,,,,,,surface seawater,negative,T_water,,,DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO18HECO01B.html,"isotope interpretation1,2,3 are missing. -BK DMT: added for all isotope variables in this data series",DMT (1/14/19)
WEB8500c7382,CO18HECO01B,CO18HECO01B,Coral,10.1002/2017PA003181,-12.087,96.875,-5.8,Direction Island,-60.92,-38.58,Sr/Ca,mmol/mol,carbonate,coral,,,,,,surface seawater,,,,,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO18HECO01B.html,,DMT (1/14/19)
WEBc0eedb9c2,CO18HECO01B,CO18HECO01B,Coral,10.1002/2017PA003181,-12.087,96.875,-5.8,Direction Island,-60.92,-38.58,d18O,permil,carbonate,coral,,,,,,surface seawater,positive,salinity_water,,,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO18HECO01B.html,,DMT (1/14/19)
WEBfe31d859,CO18RELC01A,CO18RELC01A,Coral,10.1002/2018PA003321,19.7,-80.06,-9,North Shore by CCMI,-62.54,62.96,d18O,permil,carbonate,coral,,,,,,surface seawater,negative,T_water,,,DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO18RELC01A.html,"isotope interpretation1,2,3 are missing. -BK DMT: added for all isotope variables in this data series",DMT (1/14/19)
WEB1ae4dccd,CO18RELC01A,CO18RELC01A,Coral,10.1002/2018PA003321,19.7,-80.06,-9,North Shore by CCMI,-62.54,62.96,Sr/Ca,mmol/mol,carbonate,coral,,,,,,surface seawater,,,,,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO18RELC01A.html,,DMT (1/14/19)
WEB3309bb9e,CO18RELC01A,CO18RELC01A,Coral,10.1002/2018PA003321,19.7,-80.06,-9,North Shore by CCMI,-62.54,62.96,SST-d18O,AºC,carbonate,coral,,,,,,surface seawater,,,,,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO18RELC01A.html,Row 155 and 156 look the same- and both appear to be chronology data DMT: Both are d18O-SST data calculated & reported by authors,DMT (1/14/19)
WEBa95b590f,CO18RELC01A,CO18RELC01A,Coral,10.1002/2018PA003321,19.7,-80.06,-9,North Shore by CCMI,-62.54,62.96,SST-d18O,AºC,SST from d18O calibrated by authors,,,,,,,,,,,,,FALSE,http://lipdverse.org/iso2k/0_12_0/CO18RELC01A.html,,
CO92SHPU01A,CO92SHPU,CO92SHPU01A,Coral,10.1029/92PA01825,-0.6667,-89.1667,,"Punta Pitt, Isla San Cristobal, Galapagos island, Ecuador",-32.5,14,d18O,permil,carbonate,coral,aragonite,,,,,surface seawater,negative,T_water,,,DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO92SHPU.html,,DMT (1/14/19)
Ocean2kHR_178,CO93COTW,CO93COTW01A,Coral,10.1126/science.260.5115.1790,1.4167,173.0333,-3,"Tarawa Atoll, Republic of Kiribati",-40,56,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,,"DMT (1/14/19) KJA, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO93COTW.html,,DMT (1/14/19)
Ocean2kHR_173,CO94DUUR,CO94DUUR01A,Coral,10.1029/93PA03501,-0.4084,-91.234,-1.5,"Urvina Bay, Galapagos Islands",-31,343,d18O,permil,carbonate,coral,aragonite,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,decrease,surface seawater,negative,T_water,,"Pavona gigantae - Original data - Dumbar et al., 1994 and updated version Druffel et al., 2015     https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:18255  https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:16971","DMT (1/14/19) KJA, JT, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO94DUUR.html,,DMT (1/14/19)
CO94HEAQ02A,CO94HEAQ,CO94HEAQ02A,Coral,,29.4333,34.9667,,"Aqaba, Jordan",-42,162,d18O,permil,carbonate,coral,aragonite,,,,,surface seawater,negative,T_water,,Growth rate study and interpretation,DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO94HEAQ.html,,DMT (1/14/19)
CO94HEAQ01A,CO94HEAQ,CO94HEAQ01A,Coral,,29.4333,34.9667,,"Aqaba, Jordan",-42,162,d18O,permil,carbonate,coral,aragonite,,,,,,,Temperature_water,,Growth rate study and interpretation,,FALSE,http://lipdverse.org/iso2k/0_12_0/CO94HEAQ.html,,
Ocean2kHR_138,CO94LISE,CO94LISE01A,Coral,10.1029/94JC00360,7.98,-82.05,-3,"Secas Island, Gulf of Chiriqui, Panama",-34.5,242.25,d18O,permil,carbonate,coral,aragonite,rainfall and temperature,sea surface,not applicable (subannually resolved),decrease,surface seawater,positive,Salinity_water,,"At decadal time scale the d18O signal is only influenced by d18Osw (Salinity and Precipitation), NO influence of Temperature","DMT (1/14/19) KLD, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO94LISE.html,,DMT (1/14/19)
Ocean2kHR_172,CO95TUNG,CO95TUNG01A,Coral,10.1016/0012-821X(95)00156-7,-5.22,145.82,-3,"Madang, Papua New Guinea",-41.292,27.458,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,,"DMT (1/14/19) KJA, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO95TUNG.html,,DMT (1/14/19)
Ocean2kHR_133,CO96QUVA,CO96QUVA01A,Coral,"10.1016/S0277-3791(05)80005-8, 10.1029/96GL03169",-15,167,-1,"Tangoa Island, Vanuatu",-29,143,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,1 2 3 4 5 6 7 8 9 10 11 12,decrease/increase,surface seawater,negative,T_water,,"The study was 4 samples per year but data is given as annual average values on NOAA web site. The original meta data on NOAA states there are four files, vanuatu.xls (Microsoft Excel Workbook), vanuatu.2yr.txt, vanuatu.4yr.txt, vanuatu.annual.txt (Tab-delimited text), but these appear to be missing from NOAA web site now. I have a copy archived of these files (kdelong@lsu.edu).","DMT (1/14/19) KLD, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO96QUVA.html,,DMT (1/14/19)
CO96SWBB01A,CO96SWBB,CO96SWBB01A,Coral,10.2307/3515246,25.3903,-80.1715,,"Alinas Reef, Biscayne National Park, Florida",-36,199,d18O,permil,carbonate,coral,aragonite,P,,,decrease/increase,surface seawater,negative,P_E,summer precipitation,"The authors note that their coral was not sampled optimally for intra-annual variabilty and their sampling method did not capture the seasonal cycle (Leder et al., 1996). The authors also note that they may have sampled off the thecal wall and may have included endothecal material what would have represented different time intervals. Montastraea annularis (may actually be M. faveolata; this coral definition varies with time) reproduces in the summer and they deposit a high denisty band, which Swart assumes in July. It is possible this coral does not grow at a constant rate and slows its extention in the warmer summer months, thus the annual mean d18O could be bias towards non-summer months. Examining this annual d18O record versus monthly SST and SSS, similar to tree-ring studies may provide further insight on how to interprete this record.",DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO96SWBB.html,"should ""isotope interpretation1"" = Salinity_water? -BK . DMT:  Authors interpret in terms of summer precip.",DMT (1/14/19)
CO96SWFB01A,CO96SWFB,CO96SWFB01A,Coral,"10.1016/0031-0182(95)00078-X, 10.1016/0168-9622(91)90055-2, 10.1002/2014PA002717",24.9167,-80.75,,"Lignumvitae Basin, Florida Bay",-35,126,d18O,permil,carbonate,coral,aragonite,S,sea surface,,increase,surface seawater,positive,Salinity_water,,"This coral species is Solenastrea bournoni, one not used in coral climate reconstructions, and it is located in a complex system of Florida Bay where waters from the Everglades enter the ocean and ther eare high rates of evaporation. The d18O system is not additive but subtractive for SSS and SST. Swart 1999 revisited this coral colony and they collect a new core from the same colony. Hudson 1989 gives a map with the coral location, which is 24degrees 55 minutes, and ~80 degrees and between 40 and 50 minutes, about 44 minutes nu my eye. Swart 1999 NOAA has different corrdinates for this coral 25 0N, 80 36W, Looking at Google earth and Hudsons map, the Swart 1999 corrdinates incorrect, they should be 24 degrees 55 minutes N, and ~80 degrees, 43.5 minutes W",DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO96SWFB.html,,DMT (1/14/19)
Ocean2kHR_011,CO97CHSY,CO97CHSY01A,Coral,10.1126/science.277.5328.925,-4.6062,55.4244,-7,"Beau Vallon Bay, Mahe Island, Republic of the Seychelles",-45.13,103.46,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,,"DMT (1/14/19) JZ, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO97CHSY.html,,DMT (1/14/19)
Ocean2kHR_132,CO98BOFP,CO98BOFP01A,Coral,"10.1029/98PA02502,10.1029/1999GL900595",-17.5,-149.8333,-5,"Moorea, French Polynesia",-40.5,97.5,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,,"DMT (1/14/19) KLD, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO98BOFP.html,,DMT (1/14/19)
CO98CHPI01A,CO98CHPI,CO98CHPI01A,Coral,10.1007/BF02841599,22.6,70,,Pirotan Island,-39.5,2,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO98CHPI.html,,DMT (1/14/19)
Ocean2kHR_135,CO98EVXM,CO98EVXM01A,Coral,10.1038/29424,1.6792,-157.2473,9,Kiritimati,-43.625,11.708,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,"Sr/Ca data also available, could be used to calculate d18Osw","DMT (1/14/19) KLD, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO98EVXM.html,,DMT (1/14/19)
Ocean2kHR_136,CO98EVXM,,Coral,10.1038/29424,1.6792,-157.2473,9,Kiritimati,-43.625,11.708,d13C,permil,carbonate,coral,,,,,,surface seawater,,,,d13C: not SST sensitive,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO98EVXM.html,,DMT (1/14/19)
CO98QUNC01A,CO98QUNC,CO98QUNC01A,Coral,"10.1029/98PA00401, 10.1029/96PA01859, 10.1029/97PA01348, 10.1029/1999PA900032, 10.1038/nclimate1583, 10.1016/j.palaeo.2012.08.019",-22.48,166.45,,"Amedee Island, New Caledonia",-42.75,292.25,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,"Duplicate with Quinn 2002, Stephans 2004 for the interval 1992-1967 only. DeLong 2012 and 2013 updated the chronology for Quinn 1998, updated d18O and d13C paper is in progress. The new bottom date is 1649 and is based on cross-dating two cores and several 230Th dates. DeLong 2013 details several sections that were suboptimally sampled and replaced with new optimal sampling paths. Use this record with caution since it has changed.",DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO98QUNC.html,,DMT (1/14/19)
CO98SWPR01A,CO98SWPR,CO98SWPR01A,Coral,10.1029/98JC02404,1.6667,7.5833,,"Principe, Gulf of Guinea",-42,11,d18O,permil,carbonate,coral,aragonite,,,,,surface seawater,positive,Salinity_water,,"Siderastrea spp.,  the influence of salinity overwhelms the temperautre influence on the oxygen isotopic composition of corals",DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO98SWPR.html,,DMT (1/14/19)
CO99DRGB01A,CO99DRGB,CO99DRGB01A,Coral,10.1029/1999JC900212,-22.1,153,,"Abraham Reef, Great Barrier Reef, Australia",-33.3,311.7,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO99DRGB.html,,DMT (1/14/19)
CO99GUMI01A,CO99GUMI,CO99GUMI01A,Coral,10.1029/1999PA900024,-0.533,166.9283,-14,Nauru,-45.34,-1.94,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,There is a 0.2 per mil offset in absolute value between the Nauru 1 and 2 records; The offset is ~0.23 per mil prior to 1980 and ~0.14 per mil after 1980,DMT (1/14/19),?,http://lipdverse.org/iso2k/0_12_0/CO99GUMI.html,,DMT (1/14/19)
CO99GUMI01B,CO99GUMI,CO99GUMI01B,Coral,10.1029/1999PA900024,-0.533,166.9283,-14,Nauru,-45.25,58.25,d18O,permil,carbonate,coral,,,,,,surface seawater,negative,T_water,,There is a 0.2 per mil offset in absolute value between the Nauru 1 and 2 records; The offset is ~0.23 per mil prior to 1980 and ~0.14 per mil after 1981,DMT (1/14/19),?,http://lipdverse.org/iso2k/0_12_0/CO99GUMI.html,,DMT (1/14/19)
CO99KUHO01Aa,CO99KUHO,CO99KUHO01A,Coral,10.1007/s003380050147,-28.4617,113.7683,,Houtman Abrolhos Islands,-44.38,155.29,d18O,permil,carbonate,coral,aragonite,,,,,surface seawater,negative,T_water,,No salinity influence on the d18O signal,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO99KUHO.html,,DMT (1/14/19)
CO99KUHO01Ab,CO99KUHO,CO99KUHO01A,Coral,10.1007/s003380050147,-28.4617,113.7683,,Houtman Abrolhos Islands,-43.92,155.25,d18O,permil,carbonate,coral,aragonite,,,,,surface seawater,negative,T_water,,No salinity influence on the d18O signal,DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO99KUHO.html,,DMT (1/14/19)
CO99LICL01A,CO99LICL,CO99LICL01A,Coral,10.1007/s003380050148,10.2773,-109.2131,-8.2,Clipperton Atoll,-44.12,-18.54,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,,surface seawater,negative,T_water,,Some chronology issue can be due to fish grazzing scars  Influence of salinity on coral d18O variability very small and not constant with time (some year more affected than some others),DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO99LICL.html,,DMT (1/14/19)
CO99LICL02A,CO99LICL,CO99LICL02A,Coral,10.1007/s003380050148,10.2773,-109.2131,-8.2,Clipperton Atoll,-44.12,-19.62,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,,surface seawater,negative,T_water,,Some chronology issue can be due to fish grazzing scars  Influence of salinity on coral d18O variability very small and not constant with time (some year more affected than some others),DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO99LICL.html,,DMT (1/14/19)
CO99LICL03A,CO99LICL,CO99LICL03A,Coral,10.1007/s003380050148,10.2773,-109.2131,-8.2,Clipperton Atoll,-44.04,56.21,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease,surface seawater,negative,T_water,,Some chronology issue can be due to fish grazzing scars  Influence of salinity on coral d18O variability very small and not constant with time (some year more affected than some others),"DMT (1/14/19) KJA, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO99LICL.html,,DMT (1/14/19)
CO99SWFB01A,CO99SWFB,CO99SWFB01A,Coral,"10.2307/1353206, 10.1016/0031-0182(95)00078-X, 10.1016/0168-9622(91)90055-2",24.9167,-80.75,,"Lignumvitae Basin, Florida Bay",-46,51,d18O,permil,carbonate,coral,aragonite,S,sea surface,,increase,surface seawater,positive,Salinity_water,,"NOTED from downloading Swart1999 data, it is very different from Swart1996 even though the paper says it was the same coral, core, and data, not sure why, will have to contact Peter Swart to ask and look at Healy thesis. This coral species is Solenastrea bournoni, one not used in coral climate reconstructions, and it is located in a complex system of Florida Bay where waters from the Everglades enter the ocean and ther eare high rates of evaporation. The d18O system is not additive but subtractive for SSS and SST. Swart 1999 revisited this coral colony and they collect a new core from the same colony. Hudson 1989 gives a map with the coral location, which is 24degrees 55 minutes, and ~80 degrees and between 40 and 50 minutes, about 44 minutes nu my eye. Swart 1999 NOAA has different corrdinates for this coral 25 0N, 80 36W, Looking at Google earth and Hudsons map, the Swart 1999 corrdinates incorrect, they should be 24 degrees 55 minutes N, and ~80 degrees, 43.5 minutes W",DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO99SWFB.html,,DMT (1/14/19)
WEB6a279c31,CO99SWFB,,Coral,"10.2307/1353206, 10.1016/0031-0182(95)00078-X, 10.1016/0168-9622(91)90055-2",24.9167,-80.75,,"Lignumvitae Basin, Florida Bay",-46,51,d13C,permil,,,,,,,,,,,,,,FALSE,http://lipdverse.org/iso2k/0_12_0/CO99SWFB.html,,
CO99SWFB02A,CO99SWFB,CO99SWFB02A,Coral,"10.2307/1353206, 10.1016/0031-0182(95)00078-X, 10.1016/0168-9622(91)90055-2",24.9167,-80.75,,"Lignumvitae Basin, Florida Bay",-46,-17,d18O,permil,carbonate,coral,aragonite,S,sea surface,,increase,surface seawater,positive,Salinity_water,,"NOTED from downloading Swart1999 data, it is very different from Swart1996 even though the paper says it was the same coral, core, and data, not sure why, will have to contact Peter Swart to ask and look at Healy thesis. This coral species is Solenastrea bournoni, one not used in coral climate reconstructions, and it is located in a complex system of Florida Bay where waters from the Everglades enter the ocean and ther eare high rates of evaporation. The d18O system is not additive but subtractive for SSS and SST. Swart 1999 revisited this coral colony and they collect a new core from the same colony. Hudson 1989 gives a map with the coral location, which is 24degrees 55 minutes, and ~80 degrees and between 40 and 50 minutes, about 44 minutes nu my eye. Swart 1999 NOAA has different corrdinates for this coral 25 0N, 80 36W, Looking at Google earth and Hudsons map, the Swart 1999 corrdinates incorrect, they should be 24 degrees 55 minutes N, and ~80 degrees, 43.5 minutes W",DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO99SWFB.html,,DMT (1/14/19)
IC00COPR01A,IC00COPR,IC00COPR01A,GlacierIce,https://doi.org/10.1007/978-3-642-61113-1_13,-84,43,3330,Plateau Remote,-36,1948,d18O,permil,d18O of glacier ice,glacier ice,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,"The reference has been changed : Cole-Dai was not the isotope record, it's Moseley-Thompson. Added secondary reference of Masson 2000",AO (01/15/2019),TRUE,http://lipdverse.org/iso2k/0_12_0/IC00COPR.html,,AO (01/16/2019)
IC00EIGG01A,IC00EIGG,IC00EIGG01A,GlacierIce,10.3189/172756500781833098,45.9244,7.8675,4200,Grenzgletscher,-44,14,d18O,permil,d18O of glacier ice,glacier ice,,,,,,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,,TO,TRUE,http://lipdverse.org/iso2k/0_12_0/IC00EIGG.html,,
IC00OE0202A,IC00OE02,IC00OE0202A,GlacierIce,10.3189/172756402781816492,-74.97,3.92,3014,DML Plateau (DML02) SS9813,-47,149,d18O,permil,d18O of glacier ice,glacier ice,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,"AO: fixed primary reference to Graf 2002, in accordance with Pangea",AO (01/15/2019),TRUE,http://lipdverse.org/iso2k/0_12_0/IC00OE02.html,,AO (01/16/2019)
IC00OE0302A,IC00OE03,IC00OE0302A,GlacierIce,10.3189/172756402781816492,-74.5,1.96,2843,DML Plateau (DML03) FB9809,-47,149,d18O,permil,d18O of glacier ice,glacier ice,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,"AO: fixed primary reference to Graf 2002, in accordance with Pangea",AO (01/15/2019),TRUE,http://lipdverse.org/iso2k/0_12_0/IC00OE03.html,,AO (01/16/2019)
IC00OE0503A,IC00OE05,IC00OE0503A,GlacierIce,10.3189/172756402781816492,-75,0.04,2882,DML Plateau (DML05) FB9807,-47,192,d18O,permil,d18O of glacier ice,glacier ice,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,"AO: fixed primary reference to Graf 2002, in accordance with Pangea",AO (01/15/2019),TRUE,http://lipdverse.org/iso2k/0_12_0/IC00OE05.html,,AO (01/16/2019)
IC00OE1101A,IC00OE11,IC00OE1101A,GlacierIce,10.3189/172756402781816492,-74.85,-8.5,2600,DML Plateau (DML11) FB9803,-47,29,d18O,permil,d18O of glacier ice,glacier ice,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,"AO: fixed primary reference to Graf 2002, in accordance with Pangea",AO (01/15/2019),TRUE,http://lipdverse.org/iso2k/0_12_0/IC00OE11.html,,AO (01/16/2019)
IC00OE1201A,IC00OE12,IC00OE1201A,GlacierIce,10.3189/172756402781816492,-75,-6.5,2680,DML Plateau (DML12) FB9817,-47,150,d18O,permil,d18O of glacier ice,glacier ice,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,"AO: fixed primary reference to Graf 2002, in accordance with Pangea",AO (01/15/2019),TRUE,http://lipdverse.org/iso2k/0_12_0/IC00OE12.html,,AO (01/16/2019)
IC00OE1301A,IC00OE13,IC00OE1301A,GlacierIce,10.3189/172756402781816492,-75,-4.51,2740,DML Plateau (DML13) FB9816,-47,150,d18O,permil,d18O of glacier ice,glacier ice,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,"AO: fixed primary reference to Graf 2002, in accordance with Pangea",AO (01/15/2019),TRUE,http://lipdverse.org/iso2k/0_12_0/IC00OE13.html,,AO (01/16/2019)
IC00OE1401A,IC00OE14,IC00OE1401A,GlacierIce,10.3189/172756402781816492,-74.96,-1.5,2840,DML Plateau (DML14) FB9815,-47,149,d18O,permil,d18O of glacier ice,glacier ice,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,"AO: fixed primary reference to Graf 2002, in accordance with Pangea",AO (01/15/2019),TRUE,http://lipdverse.org/iso2k/0_12_0/IC00OE14.html,,AO (01/16/2019)
IC00OE1501A,IC00OE15,IC00OE1501A,GlacierIce,10.3189/172756402781816492,-75.08,2.5,2970,DML Plateau (DML15) FB9814,-47,149,d18O,permil,d18O of glacier ice,glacier ice,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,"AO: fixed primary reference to Graf 2002, in accordance with Pangea",AO (01/15/2019),TRUE,http://lipdverse.org/iso2k/0_12_0/IC00OE15.html,,AO (01/16/2019)
IC00OE1601A,IC00OE16,IC00OE1601A,GlacierIce,10.3189/172756402781816492,-75.17,5,3100,DML Plateau (DML16) FB9813,-47,150,d18O,permil,d18O of glacier ice,glacier ice,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,"AO: fixed primary reference to Graf 2002, in accordance with Pangea",AO (01/15/2019),TRUE,http://lipdverse.org/iso2k/0_12_0/IC00OE16.html,,AO (01/16/2019)
IC00OE1801A,IC00OE18,IC00OE1801A,GlacierIce,10.3189/172756402781816492,-75.25,-6,3160,DML Plateau (DML18) FB9804,-46,149,d18O,permil,d18O of glacier ice,glacier ice,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,"AO: fixed primary reference to Graf 2002, in accordance with Pangea",AO (01/15/2019),TRUE,http://lipdverse.org/iso2k/0_12_0/IC00OE18.html,,AO (01/16/2019)
IC00OE1901A,IC00OE19,IC00OE1901A,GlacierIce,10.3189/172756402781816492,-75.17,-1,2630,DML Plateau (DML19) FB9805,-47,150,d18O,permil,d18O of glacier ice,glacier ice,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,"AO: fixed primary reference to Graf 2002, in accordance with Pangea",AO (01/15/2019),TRUE,http://lipdverse.org/iso2k/0_12_0/IC00OE19.html,,AO (01/16/2019)
IC00OE2001A,IC00OE20,IC00OE2001A,GlacierIce,10.3189/172756402781816492,-74.75,1,2840,DML Plateau (DML20) FB9808,-47,149,d18O,permil,d18O of glacier ice,glacier ice,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,"AO: fixed primary reference to Graf 2002, in accordance with Pangea",AO (01/15/2019),TRUE,http://lipdverse.org/iso2k/0_12_0/IC00OE20.html,,AO (01/16/2019)
IC00OE2101A,IC00OE21,IC00OE2101A,GlacierIce,10.3189/172756402781816492,-74.67,4,2980,DML Plateau (DML21) FB9810,-47,149,d18O,permil,d18O of glacier ice,glacier ice,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,"AO: fixed primary reference to Graf 2002, in accordance with Pangea",AO (01/15/2019),TRUE,http://lipdverse.org/iso2k/0_12_0/IC00OE21.html,,AO (01/16/2019)
IC00OE2201A,IC00OE22,IC00OE2201A,GlacierIce,10.3189/172756402781816492,-75.08,6.5,3160,DML Plateau (DML22) FB9811,-47,149,d18O,permil,d18O of glacier ice,glacier ice,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,"AO: fixed primary reference to Graf 2002, in accordance with Pangea",AO (01/15/2019),TRUE,http://lipdverse.org/iso2k/0_12_0/IC00OE22.html,,AO (01/16/2019)
IC00OE2301A,IC00OE23,IC00OE2301A,GlacierIce,10.3189/172756402781816492,-75.25,6.5,3160,DML Plateau (DML23) FB9812,-47,140,d18O,permil,d18O of glacier ice,glacier ice,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,precipitation,positive,P_isotope,1 2 3 4 5 6 7 8 9 10 11 12,"AO: fixed primary reference to Graf 2002, in accordance with Pangea",AO (01/15/2019),TRUE,http://lipdverse.org/iso2k/0_12_0/IC00OE23.html,,AO (01/16/2019)
